stationName,stationAddress,stationCity,stationState,stationZip,latitude,longitude,openingHours,phoneNumber,country
ChargeLink Hub 1,12 Galle Road,Colombo,Western,00300,6.9271,79.8612,24/7,+94115550001,Sri Lanka
ChargeLink Hub 2,45 Duplication Road,Colombo,Western,00400,6.9147,79.8636,6:00 AM - 11:00 PM,+94115550002,Sri Lanka
ChargeLink Hub 3,78 Baseline Road,Colombo,Western,00900,6.8985,79.8757,7:00 AM - 10:00 PM,+94115550003,Sri Lanka
ChargeLink Hub 4,150 High Level Road,Maharagama,Western,10280,6.8490,79.9265,24/7,+94115550004,Sri Lanka
ChargeLink Hub 5,220 Negombo Road,Wattala,Western,11300,6.9900,79.8917,8:00 AM - 9:00 PM,+94115550005,Sri Lanka
ChargeLink Hub 6,33 Colombo Road,Gampaha,Western,11000,7.0917,79.9999,24/7,+94335550006,Sri Lanka
ChargeLink Hub 7,88 Ja-Ela Road,Ja-Ela,Western,11350,7.0746,79.8917,6:00 AM - 12:00 AM,+94115550007,Sri Lanka
ChargeLink Hub 8,140 Kandy Road,Kadawatha,Western,11850,7.0013,79.9585,7:00 AM - 11:00 PM,+94115550008,Sri Lanka
ChargeLink Hub 9,25 Station Road,Ragama,Western,11010,7.0290,79.9249,24/7,+94115550009,Sri Lanka
ChargeLink Hub 10,310 Minuwangoda Road,Negombo,Western,11500,7.2083,79.8358,6:00 AM - 10:00 PM,+94315550010,Sri Lanka
ChargeLink Hub 11,55 Temple Road,Kiribathgoda,Western,11600,6.9769,79.9170,24/7,+94115550011,Sri Lanka
ChargeLink Hub 12,400 Colombo Road,Katunayake,Western,11450,7.1692,79.8841,7:00 AM - 10:00 PM,+94315550012,Sri Lanka
ChargeLink Hub 13,66 Parliament Road,Battaramulla,Western,10120,6.9022,79.9187,6:00 AM - 11:00 PM,+94115550013,Sri Lanka
ChargeLink Hub 14,120 Hospital Road,Dehiwala,Western,10350,6.8518,79.8650,24/7,+94115550014,Sri Lanka
ChargeLink Hub 15,275 Galle Road,Mount Lavinia,Western,10370,6.8389,79.8636,8:00 AM - 11:00 PM,+94115550015,Sri Lanka
ChargeLink Hub 16,99 New Kandy Road,Malabe,Western,10115,6.9061,79.9570,24/7,+94115550016,Sri Lanka
ChargeLink Hub 17,145 Main Street,Kesbewa,Western,10300,6.7953,79.9412,7:00 AM - 9:00 PM,+94115550017,Sri Lanka
ChargeLink Hub 18,18 Beach Road,Hendala,Western,11300,6.9908,79.8701,24/7,+94115550018,Sri Lanka
ChargeLink Hub 19,250 Aviation Road,Seeduwa,Western,11410,7.1300,79.8853,6:00 AM - 10:00 PM,+94115550019,Sri Lanka
ChargeLink Hub 20,77 Biyagama Road,Peliyagoda,Western,11640,6.9681,79.8836,24/7,+94115550020,Sri Lanka
ChargeLink Hub 21,45 Temple Street,Kandy,Central,20000,7.2906,80.6337,24/7,+94815550021,Sri Lanka
ChargeLink Hub 22,120 Peradeniya Road,Kandy,Central,20000,7.2803,80.6350,6:00 AM - 10:00 PM,+94815550022,Sri Lanka
ChargeLink Hub 23,88 D.S. Senanayake Veediya,Kandy,Central,20000,7.2964,80.6355,7:00 AM - 11:00 PM,+94815550023,Sri Lanka
ChargeLink Hub 24,34 Colombo Street,Kandy,Central,20000,7.2930,80.6413,24/7,+94815550024,Sri Lanka
ChargeLink Hub 25,77 Hill Street,Nuwara Eliya,Central,22200,6.9497,80.7891,8:00 AM - 10:00 PM,+94525550025,Sri Lanka
ChargeLink Hub 26,101 Queen Elizabeth Drive,Nuwara Eliya,Central,22200,6.9680,80.7690,24/7,+94525550026,Sri Lanka
ChargeLink Hub 27,210 Main Road,Matale,Central,21000,7.4675,80.6234,6:00 AM - 9:00 PM,+94665550027,Sri Lanka
ChargeLink Hub 28,90 Lake Road,Dambulla,Central,21100,7.8731,80.6511,24/7,+94665550028,Sri Lanka
ChargeLink Hub 29,66 Sigiriya Road,Sigiriya,Central,21120,7.9570,80.7603,7:00 AM - 10:00 PM,+94665550029,Sri Lanka
ChargeLink Hub 30,15 Station Road,Hatton,Central,22000,6.8916,80.5955,24/7,+94515550030,Sri Lanka
ChargeLink Hub 31,45 Main Street,Galle,Southern,80000,6.0329,80.2168,24/7,+94915550031,Sri Lanka
ChargeLink Hub 32,88 Matara Road,Galle,Southern,80000,6.0215,80.2170,7:00 AM - 10:00 PM,+94915550032,Sri Lanka
ChargeLink Hub 33,120 Beach Road,Unawatuna,Southern,80600,6.0108,80.2499,8:00 AM - 11:00 PM,+94915550033,Sri Lanka
